index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Amulet of the Viper	123	0		1					1			0	vip	Amulet		5	5000	lgry							mana		20	20	res-pois		50	50	hp		20	20			0	0			0	0			0	0			0	0																						0
Staff of Kings	124	0		1					1		0	0	msf	Staff		5	5000	dgry							res-all		30	30	swing3		50	50			0	0			0	0			0	0			0	0			0	0																						0
Horadric Staff	125	0		1					1		0	0	hst	Staff		5	5000	blac							mana		20	20	hp		20	20	hp		20	20	res-all		40	40	swing3		50	50			0	0			0	0																						0
Hell Forge Hammer	126	0		1					1		0	0	hfh	Hammer		5	5000	cred							fire-min		25	25	fire-max		30	30	res-fire		40	40	ac		60	60			0	0			0	0			0	0																						0
KhalimFlail	127	0		1					1		0	0	qf1	Flail		5	5000	dblu							ltng-min		20	20	ltng-max		40	40	swing3		50	50	att		200	200			0	0			0	0			0	0																						0
SuperKhalimFlail	128	0		1					1		0	0	qf2	Flail		5	5000	dblu							ltng-min		20	20	ltng-max		60	60	swing3		50	50	att		250	250	manasteal		6	6	lifesteal		6	6			0	0																						0
Expansion																																																																										0
Coldkill	129	100		1					1		28	23	9ha	Hatchet		5	5000	cblu	cblu		invhaxu				dmg-cold	50	40	60	res-cold		6	20	res-cold-max		5	10	swing3		30	30	hit-skill	45	10	10	gethit-skill	44	10	5	dmg%		150	190	ease		33	33																		0
Butcher's Pupil	130	100		1					1		30	25	9ax	Cleaver		5	5000	cblu	cblu		invaxeu				deadly		15	30	openwounds		15	20	dmg%		150	200	indestruct		1	1	swing3		30	30	dmg-norm		30	50	ease		33	33	kill-skill	Shout	5	10																		0
Islestrike	131	100		1					1		33	28	92a	Twin Axe		5	5000								dru		2	2	all-stats		10	20	ac-miss		50	50	crush		25	25	dmg%		170	210	oskill	233	1	1	oskill	248	1	1	swing2		10	30	ease		33	33														0
Pompe's Wrath	132	100		1					1		34	29	9mp	Crowbill		5	5000	cred	cred		invmpiu				hit-skill	244	4	8	slow		50	50	dmg-fire		65	150	knock		1	1	dmg%		140	200	howl		64	64	ease		33	33																						0
Guardian Naga	133	100		1					1		36	31	9wa	Naga		5	5000								hit-skill	92	5	12	thorns		5	35	res-pois		15	30	dmg%		150	220	dmg-pois	125	256	256	dmg-max		20	20	ease		33	33	sock		0	2																		0
Warlord's Trust	134	100		1					1		28	22	9la	Military Axe		5	5000	whit	whit						ac		75	150	regen		20	20	vit/lvl	6			res-all		10	20	rep-dur	25			dmg%		175	175	ethereal		1	1	ease		33	33																		0
Spellsteel	135	100		1					1		30	25	9ba	Bearded Axe		5	5000	whit	whit						ease		-10	-10	mana		100	100	red-mag		12	15	cast2		20	40	dmg%		150	225	regen-mana		100	100	charged	54	30	1	charged	87	30	3	charged	101	100	10	charged	225	60	12	ease		33	33						0
Stormrider	136	100		1					1		32	26	9bt	Tabar		5	5000	lred	lred		inv9btu				hit-skill	53	5	10	hit-skill	38	10	0	dmg-ltng		101	200	dmg-norm		20	80	dmg%		100	150	dur		50	50	light-thorns		15	15	gethit-skill	38	15	5	ease		33	33														0
Boneslayer Blade	137	100		1					1		32	27	9ga	Gothic Axe		5	5000				invgaxu				att-und/lvl	20			dmg-und/lvl	20			str		18	35	swing2		10	30	att%		35	35	dmg%		180	220	charged	101	200	20	gethit-skill	101	50	0	ease		33	33														0
The Minataur	138	100		1					1		34	29	9gi	Ancient Axe		5	5000				inv9giu				stupidity		3	3	nofreeze		1	1	str		15	20	slow		30	50	crush		30	30	dmg-norm		30	50	dmg%		165	200	ease		33	33																		0
Suicide Branch	139	100		1					1		26	21	9wn	Burnt Wand		5	5000								thorns		25	25	cast2		30	50	res-all		10	20	mana%		10	20	hp		20	80	allskills		0	2	ease		33	33																						0
Carin Shard	140	100		1					1		28	22	9yw	Petrified Wand		5	5000	cblu	cblu						hp/lvl	10			cast2		10	30	mana/lvl	10			balance2		16	24	regen		5	10	nec		1	1	skilltab	8	2	2	ease		33	33																		0
Arm of King Leoric	141	100		1					1		28	23	9bw	Tomb Wand		5	5000				invbwnu				skilltab	8	1	3	gethit-skill	93	5	10	mana/lvl	10			gethit-skill	88	10	2	cast2		10	20	skilltab	7	1	3	oskill	77	2	2	oskill	80	2	2	oskill	69	3	3	oskill	70	3	3	ease		33	33						0
Blackhand Key	142	100		1					1		32	26	9gw	Grave Wand		5	5000	blac	blac		inv9gwu				skilltab	6	1	2	dmg-to-mana		20	40	hp		50	50	light		-2	3	cast2		30	30	res-fire		20	40	nec		2	2	charged	Grim Ward	60	10	ease		33	33														0
Dark Clan Crusher	143	100		1					1		27	22	9cl	Cudgel		5	5000	dgld	dgld		invclbu				dru		2	2	dmg-demon		200	200	att-demon		200	200	dmg%		195	195	att%		20	25	demon-heal		15	15	swing2		10	30	ease		33	33																		0
Zakarum's Hand	144	100		1					1		29	24	9sc	Rune Scepter		5	5000	lpur	lpur						manasteal		8	8	ignore-ac		1	1	regen-mana		10	10	regen-stam		15	15	hit-skill	59	6	5	dmg%		180	220	swing2		30	30	oskill	114	2	2	oskill	118	2	2	ease		33	33										0
The Fetid Sprinkler	145	100		1					1		30	24	9qs	Holy Water Sprinkler		5	5000								pal		2	2	hit-skill	87	5	1	hit-skill	81	10	1	dmg-pois	75	409	409	dmg%		160	190	att		150	200	dmg-norm		15	25	swing2		10	30	ease		33	33														0
Hand of Blessed Light	146	100		1					1		32	27	9ws	Divine Scepter		5	5000	lyel							pal		0	3	dmg%		130	200	att%		100	100	ac		50	100	regen-mana		15	15	light		4	4	dmg-norm		20	50	oskill	Holy Bolt	4	4	oskill	Fist of the Heavens	2	2	hit-skill	Holy Bolt	5	4	ease		33	33						0
Fleshrender	147	100		1					1		30	24	9sp	Barbed Club		5	5000	blac			invspcu				openwounds		25	50	noheal		1	1	crush		15	25	deadly		20	30	dmg-norm		50	90	dmg%		130	200	dru		1	1	skilltab	16	2	2	dur		20	20	ease		33	33										0
Sureshrill Frost	148	100		1					1		30	25	9ma	Flanged Mace		5	5000								dmg-cold	125	80	112	nofreeze		1	1	dmg%		175	190	dmg-norm		15	30	freeze		3	3	charged	64	50	9	swing2		20	30	ease		33	33																		0
Moonfall	149	100		1					1		32	27	9mt	Jagged Star		5	5000				invmstu				hit-skill	Meteor	5	6	dmg-fire		55	115	red-mag		12	20	dmg%		120	175	light		2	4	charged	56	60	11	dmg-norm		35	50	ease		33	33																		0
Baezil's Vortex	150	100		1					1		34	29	9fl	Knout		5	5000	dblu	dblu						hit-skill	Tornado	5	8	dmg-ltng		65	150	mana		100	100	res-ltng		25	25	dmg%		160	200	swing2		20	40	gethit-skill	Cyclone Armor	2	12	ease		33	33																		0
Earthshaker	151	100		1					1		33	28	9wh	Battle Hammer		5	5000								hit-skill	234	5	7	knock		1	1	swing3		30	30	dmg%		150	250	stupidity		3	3	skilltab	17	3	3	dur		50	50	ease		33	33																		0
Bloodtree Stump	152	100		1					1		36	31	9m9	War Club		5	5000	dred							crush		30	50	dmg%		180	220	res-all		10	25	str		25	40	skilltab	13	2	2	oskill	129	3	3	dur		40	40	ease		33	33																		0
The Gavel of Pain	153	100		1					1		34	29	9gm	Martel de Fer		5	5000				inv9gmu				hit-skill	66	5	1	gethit-skill	76	5	1	thorns		26	26	indestruct		1	1	dmg-norm		12	30	dmg%		150	220	charged	66	10	8	ease		33	33																		0
Bloodletter	154	100		1					1		24	19	9ss	Gladius		5	5000	cred	cred						dmg-norm		30	50	att		90	150	lifesteal		8	12	stamdrain		10	30	swing2		20	40	dmg%		140	200	oskill	Blade Mastery	2	4	skill	Whirlwind	2	5	dur		30	30	ease		33	33										0
Coldsteel Eye	155	100		1					1		25	20	9sm	Cutlass		5	5000	dgry			invscmu				stupidity		3	3	slow		25	40	deadly		50	50	dur		50	50	dmg%		200	250	swing2		20	40	manasteal		6	10	ease		33	33																		0
Hexfire	156	100		1					1		26	21	9sb	Shamshir		5	5000				invsbru				hit-skill	Ring of Fire	3	8	ignore-ac		1	1	res-fire		25	25	res-fire-max		10	10	dmg-norm		35	40	dmg%		150	180	fireskill		3	3	ease		33	33																		0
Blade of Ali Baba	157	100		1					1		28	22	9fc	Tulwar		5	5000	cred	cred						sock		1	3	gold%/lvl		10	30	mag%/lvl		6	10	mana		15	50	dmg%		90	160	dex		15	15	cast2		-20	-10	ease		33	33																		0
Ginther's Rift	158	100		1					1		29	24	9cr	Dimensional Blade		5	5000	cblu			inv9cru				red-mag		12	20	swing2		30	40	rep-dur	20			dur		40	40	mag-min		50	80	mag-max		120	180	dmg%		125	175	ease		33	33																		0
Headstriker	159	100		1					1		30	25	9bs	Battle Sword		5	5000	bwht	bwht						noheal		1	1	str		15	30	deadly/lvl	12			dmg/lvl		8	10	dmg%		150	225	sock		1	3	ease		33	33																						0
Plague Bearer	160	100		1					1		32	26	9ls	Rune Sword		5	5000				inv9lsu				hit-skill	Poison Nova	5	8	dmg-pois	100	250	250	dmg-norm		15	50	dmg%		150	200	res-pois		25	25	oskill	Poison Explosion	5	5																										0
The Atlantian	161	100		1					1		32	27	9wd	Ancient Sword		5	5000	lblu	lblu						dur		100	100	ac		100	100	str		15	30	dex		15	25	vit		10	20	dmg%		200	250	pal		2	2	att%		50	80	ease		33	33														0
Crainte Vomir	162	100		1					1		32	27	92h	Espadon		5	5000	lgld			inv2hsu				slow		35	35	dmg-ac		-70	-70	move2		10	20	red-dmg%		10	15	dmg%		160	200	swing3		50	50	oskill	Rabies	3	5	ease		33	33																		0
Bing Sz Wang	163	100		1					1		33	28	9cm	Dacian Falx		5	5000								ease		33	33	dmg-cold	100	75	140	str		20	20	freeze		3	3	hit-skill	64	5	3	dmg%		150	250																										0
The Vile Husk	164	100		1					1		34	28	9gs	Tusk Sword		5	5000	dgry	dgry		invgisu				hit-skill	66	6	1	dmg-und/lvl	60			res-pois		25	40	dmg-pois	150	426	426	dmg%		150	200	att-und/lvl	20			swing2		20	40	ease		33	33																		0
Cloudcrack	165	100		1					1		34	29	9b9	Gothic Sword		5	5000				invbswu				hit-skill	121	6	7	dmg-ltng		85	240	ac		30	30	light		2	4	res-ltng-max		10	10	dmg%		150	225	light-thorns		15	30	oskill	Fanaticism	3	5	oskill	Zeal	3	5	ease		33	33										0
Todesfaelle Flamme	166	100		1					1		35	30	9fb	Zweihander		5	5000				inv9fbu				dmg-fire		50	200	res-fire		40	40	abs-fire		10	10	att-skill	47	10	6	dmg%		120	160	charged	52	45	10	aura	Conviction	2	6	ease		33	33																		0
Swordguard	167	100		1					1		36	31	9gd	Executioner Sword		5	5000	bwht	bwht		invgsdu				ease		-20	-20	ac/lvl	40			res-all		10	20	ac-miss		100	100	dmg-to-mana		30	30	dmg%		170	180	ac-hth		200	200	balance2		16	24	gethit-skill	Battle Command	3	8														0
Spineripper	168	100		1					1		26	20	9dg	Poignard		5	5000								ignore-ac		1	1	lifesteal		8	8	noheal		1	1	swing2		30	30	dex		10	20	dmg%		200	240	dmg-norm		15	45	nec		1	2	ease		33	33														0
Heart Carver	169	100		1					1		28	23	9di	Rondel		5	5000								deadly		35	35	ignore-ac		1	1	dmg-norm		15	35	dmg%		190	240	oskill	Find Potion	4	4	oskill	Blade Mastery	4	4	oskill	Grim Ward	4	4	ease		33	33																		0
Blackbog's Sharp	170	100		1					1		30	24	9kr	Cinquedeas		5	5000				invkrsu				aura	Holy Freeze	2	6	reduce-ac		66	66	dmg-norm		15	45	swing3		30	30	dmg-pois	125	500	500	skill	73	5	5	skill	83	4	4	skill	92	4	4	ease		33	33														0
Stormspike	171	100		1					1		32	26	9bl	Stilleto		5	5000	cblu	cblu		inv9blu				dmg-ltng		1	120	light-thorns		20	20	gethit-skill	Nova	10	3	dmg%		150	225	res-ltng/lvl	8			oskill	Holy Shock	5	10	ease		33	33																						0
The Impaler	172	100		1					1		25	20	9sr	War Spear		5	5000	lred	lred						reduce-ac		66	66	att%		150	150	swing2		20	40	openwounds		40	40	noheal		1	1	dmg%		140	170	skill	Impale	5	5	skill	Fend	3	3	ease		33	33														0
Kelpie Snare	173	100		1					1		26	21	9tr	Fuscina		5	5000				invtriu				slow		75	75	res-fire		50	50	hp/lvl	12			dmg-norm		50	85	str		10	10	dmg%		140	200	openwounds		25	25	ease		33	33																		0
Soulfeast Tine	174	100		1					1		28	22	9br	War Fork		5	5000	lyel	lyel		inv9bru				ease		33	33	lifesteal		7	10	manasteal		7	10	stamdrain		20	50	dmg%		150	225	att%		100	150	dur		15	15	openwounds		25	25	ease		33	33														0
Hone Sundan	175	100		1					1		29	24	9st	Yari		5	5000								sock		3	5	dmg-norm		20	40	crush		45	45	rep-dur	10			dmg%		160	200	openwounds		20	20	ease		33	33																						0
Spire of Honor	176	100		1					1		30	25	9p9	Lance		5	5000	lgry	lgry						att%		75	125	light		5	5	regen		20	20	balance2		24	48	dmg-norm		20	60	dmg-dem/lvl	12			dmg%		150	200	skilltab	9	3	3	ac		100	150	openwounds		25	25	ease		33	33						0
The Meat Scraper	177	100		1					1		32	26	9b7	Lochaber Axe		5	5000	dred	dred						dmg%		150	200	swing2		30	30	lifesteal		10	15	openwounds		25	50	mag%		25	50	skilltab	13	3	3	slow		35	35	ease		33	33																		0
Blackleach Blade	178	100		1					1		32	27	9vo	Bill		5	5000	blac	blac						ease		33	33	hit-skill	72	5	5	light		-2	5	lifesteal		8	12	dmg/lvl	12			dmg%		125	180	slow		25	35	ease		33	33																		0
Athena's Wrath	179	100		1					1		32	27	9s8	Battle Scythe		5	5000				inv9s8u				nec		1	3	dex		15	15	swing2		30	50	hp/lvl		8	12	dmg/lvl	8			dmg%		150	220	slow		25	35	ease		33	33																		0
Pierre Tombale Couant	180	100		1					1		33	28	9pa	Partizan		5	5000	lgld	lgld						deadly		55	55	allskills		2	2	balance2		24	48	mana-kill		12	18	dmg-norm		30	55	dmg%		160	220	att		100	200	slow		25	35	ease		33	33														0
Husoldal Evo	181	100		1					1		34	28	9h9	Bec-de-Corbin		5	5000								regen		20	20	att		200	250	noheal		1	1	dmg-norm		20	55	dmg%		160	200	swing2		20	30	slow		25	35	ease		33	33																		0
Grim's Burning Dead	182	100		1					1		34	29	9wc	Grim Scythe		5	5000	cred	cred						fire-min		131	175	fire-max		250	325	dmg%		140	250	thorns		8	22	slow		35	35	nec		3	3	reduce-ac		50	50	ac		60	100	att		200	250	ease		33	33										0
Razorswitch	183	100		1					1		23	18	8ss	Jo Stalf		5	5000	lpur							cast3		30	50	thorns		15	30	mana		175	175	hp		80	125	red-mag		15	15	res-all		25	50	allskills		1	1	sock		2	2	ease		33	33														0
Ribcracker	184	100		1					1		25	20	8ls	Quarterstaff		5	5000	lblu	lblu						dmg-norm		30	80	dmg%		200	300	crush		35	50	dex		15	30	ac		100	150	ac%		100	150	balance2		24	48	swing2		50	50	dur		100	100	ease		33	33										0
Chromatic Ire	185	100		1					1		28	22	8cs	Cedar Staff		5	5000				invcstu				sor		2	3	res-all		20	40	cast2		20	40	light-thorns		20	20	hp%		20	30	oskill	61	1	3	oskill	63	1	3	oskill	65	1	3	ease		33	33														0
Warpspear	186	100		1					1		30	25	8bs	Gothic Staff		5	5000	cblu	cblu						sor		3	3	pierce-cold		10	20	skill	54	3	3	skill	43	3	3	skill	58	3	3	ac-miss		250	250	pierce-fire		10	20	pierce-ltng		10	20	ease		33	33														0
Skullcollector	187	100		1					1		32	26	8ws	Rune Staff		5	5000	blac	blac		inv8wsu				mana%		20	50	mana-kill		20	20	allskills		2	2	mag%/lvl	8			cast2		10	50	ac		50	150	hp		50	200	ease		33	33																		0
Skystrike	188	100		1					1		23	18	8sb	Edge Bow		5	5000								dmg-ltng		85	250	att		100	100	enr		10	30	swing2		20	40	dmg%		150	200	hit-skill	Meteor	2	6	ama		1	1	dmg-ac		-50	-50	ease		33	33														0
Riphook	189	100		1					1		25	20	8hb	Razor Bow		5	5000	cred	cred						openwounds		30	30	dmg%		180	220	slow		30	30	mana		35	75	swing2		30	40	lifesteal		7	10	dmg-ac		-50	-50	ease		33	33																		0
Kuko Shakaku	190	100		1					1		26	21	8lb	CedarBow		5	5000	lpur	lpur		inv8lbu				oskill	Immolation Arrow	3	3	skill	Exploding Arrow	5	5	dmg%		150	180	pierce		50	50	pierce-fire		10	35	skilltab	0	3	3	dmg-ac		-50	-50	ease		33	33																		0
Endlesshail	191	100		1					1		28	23	8cb	Double Bow		5	5000				invcbwu				res-cold		15	35	mana		40	60	ac-miss		50	100	skill	26	3	5	dmg%		180	220	dmg-cold	75	15	30	hit-skill	Blizzard	5	8	dmg-ac		-50	-50	ease		33	33														0
Whichwild String	192	100		1					1		30	25	8s8	Short Siege Bow		5	5000	lblu	lblu		inv8s8u				hit-skill	66	5	8	res-all		20	40	deadly/lvl	8			dmg%		170	225	oskill	Magic Arrow	3	3	sock		2	4	dmg-ac		-50	-50	ease		33	33																		0
Cliffkiller	193	100		1					1		32	26	8l8	Long Siege Bow		5	5000	dgld							ama		2	2	dmg%		190	260	ac-miss		80	120	knock		1	1	hp		50	85	dmg-min		20	25	dmg-max		35	65	swing2		20	20	dmg-ac		-50	-50	ease		33	33										0
Magewrath	194	100		1					1		33	28	8sw	Rune Bow		5	5000	oran			invswbu				manasteal		15	15	red-mag		13	20	oskill	Guided Arrow	6	6	att		250	250	dex		10	40	stupidity		3	3	dmg-norm		35	50	dmg%		180	230	ama		1	1	dmg-ac		-50	-50	ease		33	33						0
Godstrike Arch	195	100		1					1		35	30	8lw	Gothic Bow		5	5000	lgry	lgry						dmg%		250	250	att%		100	150	dmg-undead		100	200	dmg-demon		100	200	kill-skill	Weaken	5	7	swing2		30	50	regen		12	12	hit-skill	Weaken	5	10	dmg-ac		-50	-50	ease		33	33										0
Langer Briser	196	100		1					1		26	20	8lx	Arbalest		5	5000				inv8lxu				knock		1	1	dmg%		170	200	mag%		30	60	hp		30	100	dmg-max		10	60	openwounds		33	33	dmg-ltng		1	212	pierce		25	25	ease		33	33														0
Pus Spiter	197	100		1					1		28	23	8mx	Siege Crossbow		5	5000	cgrn	cgrn		inv8mxu				dmg-pois	100	192	192	hit-skill	91	4	5	allskills		2	2	ease		-20	-20	gethit-skill	Poison Explosion	9	6	swing2		10	30	dmg%		150	220	att/lvl	10			pierce		25	25														0
Buriza-Do Kyanon	198	100		1					1		38	26	8hx	Balista		5	5000				invhxbu				pierce		100	100	dex		35	35	ac		75	150	dmg/lvl	20			swing2		80	80	dmg%		150	250	freeze		3	3	dmg-cold	200	65	220	ease		33	33														0
Demon Machine	199	100		1					1		37	32	8rx	Chu-Ko-Nu		5	5000	blac	blac		invrxbu				ac		325	325	mana		36	36	pierce		100	100	oskill	Exploding Arrow	6	6	dmg-max		66	66	dmg%		123	123	att		632	632	dmg-demon		200	200	att-demon		150	150	ease		33	33										0
Armor																																																																										0
Peasent Crown	201	100		1					1		23	18	xap	War Hat		3	5000	lgry							enr		10	40	vit		10	40	allskills		1	1	move2		10	20	regen		6	12	ac%		100	140	sock		1	3	ac-miss		40	60	ease		33	33														0
Rockstopper	202	100		1					1		25	20	xkp	Sallet		3	5000				invxkpu				res-ltng		20	40	red-dmg%		10	20	balance2		24	48	ac%		160	220	res-fire		20	50	res-cold		20	40	vit		15	20	ac-miss		40	60	ease		33	33														0
Stealskull	203	100		1					1		28	22	xlm	Casque		3	5000				invhlmu				manasteal		5	5	lifesteal		5	5	balance2		16	24	swing2		10	20	ac%		200	240	mag%		30	50	ac-miss		40	60	ease		33	33																		0
Darksight Helm	204	100		1					1		30	24	xhl	Basinet		3	5000	blac	blac		invfhlu				light		-4	-4	ac/lvl	16			nofreeze		1	1	manasteal		5	5	gethit-skill	Cloak of Shadows	6	3	ac-miss		100	160	ease		33	33																						0
Valkiry Wing	205	100		1					1		34	28	xhm	Winged Helm		3	5000	lgld							ac%		150	200	move2		20	20	balance2		24	36	ama		1	2	mana-kill		4	8	ac-miss		40	60	ease		33	33																						0
Crown of Thieves	206	100		1					1		37	32	xrn	Grand Crown		3	5000	dgld	dgld		invxrnu				dex		25	30	lifesteal		10	15	hp		50	80	mana		35	80	res-fire		30	40	ac%		160	200	gold%		80	100	ac-miss		40	60	ease		33	33														0
Blackhorn's Face	207	100		1					1		32	26	xsk	Death Mask		3	5000	blac	blac						light-thorns		25	25	slow		20	20	noheal		1	1	abs-ltng		20	20	res-ltng		15	15	ac%		180	220	ac-miss		40	60	ease		33	33																		0
Vampiregaze	208	100		1					1		32	26	xh9	Grim Helm		3	5000	cgrn	cgrn		invbhmu				manasteal		6	8	lifesteal		6	8	stamdrain		15	50	red-dmg%		15	20	red-mag		10	15	ac%		100	175	dmg-cold	100	20	80	gethit-skill	Life Tap	2	8	ac-miss		40	60	ease		33	33										0
The Spirit Shroud	209	100		1					1		23	18	xui	Ghost Armor		3	5000								nofreeze		1	1	allskills		1	2	red-mag		12	20	regen		10	15	ac%		150	200	res-cold		30	50	ease		33	33																						0
Skin of the Vipermagi	210	100		1					1		24	18	xea	SerpentSkin Armor		3	5000	dblu	dblu						ac%		120	200	res-all		20	35	cast3		10	30	red-mag		15	20	allskills		1	1	ease		33	33																										0
Skin of the Flayerd One	211	100		1					1		25	20	xla	Demonhide Armor		3	5000	lred	lred						rep-dur	10			regen		15	25	dur		30	30	lifesteal		5	7	ac%		150	190	thorns		15	30	red-mag		10	20	ease		33	33																		0
Ironpelt	212	100		1					1		26	21	xtu	Tresllised Armor		3	5000	dgry	dgry		invxtuu				dur		125	125	hp		25	85	red-mag		10	20	red-dmg		15	20	ac/lvl		18	24	ac%		75	130	balance2		16	32	ease		33	33																		0
Spiritforge	213	100		1					1		28	22	xng	Linked Mail		3	5000								light		4	4	hp/lvl	10			dmg-fire		20	65	res-fire		5	5	ac%		120	160	str		15	15	sock		2	3	ac-hth		75	125	ease		33	33														0
Crow Caw	214	100		1					1		29	24	xcl	Tigulated Mail		3	5000								openwounds		35	35	ac%		150	180	dex		15	25	balance2		16	32	swing2		10	20	oskill	Raven	3	8	move2		10	20	ease		33	33																		0
Shaftstop	215	100		1					1		30	24	xhn	Mesh Armor		3	5000	dgry							ac-miss		250	250	red-dmg%		25	40	hp		60	120	ac%		180	250	ease		33	33																														0
Duriel's Shell	216	100		1					1		32	26	xrs	Cuirass		3	5000	oran	oran						str		15	30	ac/lvl	10			hp/lvl	8			ac%		160	200	res-all		10	25	aura	Holy Freeze	8	15	skill	Smite	4	5	skill	Charge	4	5	nofreeze		1	1	ease		33	33										0
Skullder's Ire	217	100		1					1		32	27	xpl	Russet Armor		3	5000								allskills		1	1	mag%/lvl		8	14	ac%		160	200	dur		60	60	red-mag		10	20	rep-dur	20			red-dmg%		5	12	ease		33	33																		0
Guardian Angel	218	100		1					1		34	29	xlt	Templar Coat		3	5000	lgry	lgry						light		4	4	pal		1	2	ac%		180	250	block2		30	30	res-all-max		15	15	att-dem/lvl	6			block		20	20	red-dmg%		5	12	ease		33	33														0
Toothrow	219	100		1					1		36	31	xld	Sharktooth Armor		3	5000	whit	whit						thorns		20	40	ac		40	80	str		10	25	openwounds		40	40	res-fire		15	15	ac%		160	220	dur		15	15	red-dmg%		5	12	ease		33	33														0
Atma's Wail	220	100		1					1		38	33	xth	Embossed Plate		3	5000								dex		15	25	regen		10	15	mana%		15	30	balance2		24	48	ac/lvl	16			dur		50	50	ac%		120	210	mag%		10	50	red-dmg%		5	12	ease		33	33										0
Black Hades	221	100		1					1		40	34	xul	Chaos Armor		3	5000								light		-2	-2	att-demon		200	250	half-freeze		1	1	sock		3	4	ac%		140	200	dmg-demon		30	60	red-dmg%		10	18	ease		33	33																		0
Corpsemourn	222	100		1					1		41	36	xar	Ornate Armor		3	5000	blac	blac		invxaru				str		10	20	vit		10	20	res-cold		35	35	gethit-skill	76	6	2	ac%		150	200	extra-fire		10	20	oskill	Corpse Explosion	5	8	kill-skill	Corpse Explosion	5	8	red-dmg%		10	20	ease		33	33										0
Que-Hegan's Wisdon	223	100		1					1		38	33	xtp	Mage Plate		3	5000								cast2		20	20	mana-kill		8	12	red-mag		16	20	enr		30	30	balance2		16	32	ac%		140	160	allskills		1	1	aura	Mediation	3	3	red-mag		10	20	red-dmg%		5	12	ease		33	33						0
Visceratuant	224	100		1					1		23	18	xuc	Defender		3	5000	dred			invbucu				extra-ltng		20	30	block2		30	30	block		30	30	ac%		100	150	light-thorns		20	45	ac-hth		40	100	ease		33	33																						0
Mosers Blessed Circle	225	100		1					1		25	20	xml	Round Shield		3	5000				invxmlu				res-all		15	30	block		25	40	sock		1	3	ac%		180	220	block2		30	30	ac-hth		40	100	ease		33	33																						0
Stormchaser	226	100		1					1		28	22	xrg	Scutum		3	5000	cblu	cblu		invxrgu				dmg-ltng		60	150	block		20	30	nofreeze		1	1	res-ltng		25	50	att		150	200	ac%		160	220	block2		20	30	gethit-skill	Static Field	5	8	gethit-skill	Twister	5	15	ac-hth		40	100	ease		33	33						0
Tiamat's Rebuke	227	100		1					1		30	24	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				dmg-cold	250	30	80	dmg-fire		45	110	dmg-ltng		25	150	res-all		15	35	ac%		140	200	gethit-skill	Frost Nova	5	9	gethit-skill	Nova	5	7	oskill	Hydra	3	6	dur		40	40	ac-hth		40	100	ease		33	33						0
Kerke's Sanctuary	228	100		1					1		34	28	xow	Pavise		3	5000	lgrn	lgrn		invtowu				red-dmg		20	26	red-mag		20	26	regen		15	15	ac%		180	240	dur		100	100	block		30	30	res-all		20	30	ac-hth		40	100	ease		33	33														0
Radimant's Sphere	229	100		1					1		38	32	xts	Ancient Shield		3	5000				invgtsu				extra-pois		15	30	gethit-skill	Holy Bolt	8	16	res-pois		40	60	ac%		160	200	block		20	30	block2		20	30	extra-mag		10	20	dur		20	20	ac-hth		40	100	ease		33	33										0
Lidless Wall	230	100		1					1		32	26	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				light		1	1	allskills		1	1	cast2		10	30	mana-kill		5	12	ac%		80	165	enr		15	30	mana%		10	10	sock		1	2	ac-hth		40	100	ease		33	33										0
Lance Guard	231	100		1					1		28	22	xpk	Barbed Shield		3	5000				invxpku				hp		50	150	balance2		24	48	dmg-to-mana		15	30	thorns		47	60	ac%		70	120	deadly		20	20	skill	Smite	6	10	ac-hth		100	150	ease		33	33														0
Venom Grip	232	100		1					1		24	18	xlg	Demonhide Gloves		5	5000	dgrn							res-pois		30	30	res-pois-max		5	10	dmg-pois	50	153	153	crush		5	10	hit-skill	Life Tap	5	5	ac		25	60	ac%		130	160	swing2		10	30	ease		33	33														0
Gravepalm	233	100		1					1		25	20	xvg	Sharkskin Gloves		5	5000								enr		10	50	str		10	30	aura	Sanctuary	5	12	cast2		10	30	ac%		140	180	ease		33	33																										0
Ghoulhide	234	100		1					1		28	23	xmg	Heavy Bracers		5	5000								att-und/lvl	20			dmg-und/lvl	20			manasteal		4	9	hp		20	80	ac%		150	190	swing2		10	30	ease		33	33																						0
Lavagout	235	100		1					1		32	27	xtg	Battle Guantlets		5	5000	lyel							res-fire		15	30	nofreeze		1	1	kill-skill	Ring of Fire	2	5	swing2		20	30	ac%		150	200	dmg-fire		35	50	dur		20	20	ease		33	33																		0
