description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1	1	2		100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Amulet -> Virulent Amulet	0				100					4	"amu,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Ring -> Virulent Ring	0				100					4	"ring,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Helm -> Virulent Helm	0				100					4	"helm,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Boots -> Virulent Boots	0				100					4	"boot,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Gloves -> Virulent Gloves	0				100					4	"glov,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Armor -> Virulent Armor	0				100					4	"tors,mag"	r18	gpg	xa1				"useitem,pre=676"				pierce-pois			2	8																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Weapon -> Virulent Weapon	0				100					4	"weap,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Shield -> Virulent Shield	0				100					4	"shie,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Small Charm -> Virulent Small Charm	0				100					4	"scha,mag"	r18	gpg	xa1				"useitem,pre=671"				pierce-pois			1	1																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Large Charm -> Virulent Large Charm	0				100					4	"mcha,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Uber Ancient Summon Material Act1 + 1 Rotting Fissure -> Virulent Rotting Fissure                                                                                                                                                                                                	1				100					4	PreCrafted Rotting Fissure	r18	gpg	xa1				Crafted Rotting Fissure	69																																																																																						0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Amulet -> Gelid Amulet	0				100					4	"amu,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Ring -> Gelid Ring	0				100					4	"ring,mag"	r17	gpb	xa2				"useitem,pre=683"				pierce-cold			1	2																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Helm -> Gelid Helm	0				100					4	"helm,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Boots -> Gelid Boots	0				100					4	"boot,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Gloves -> Gelid Gloves	0				100					4	"glov,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Armor -> Gelid Armor	0				100					4	"tors,mag"	r17	gpb	xa2				"useitem,pre=686"				pierce-cold			2	8																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Weapon -> Gelid Weapon	0				100					4	"weap,mag"	r17	gpb	xa2				"useitem,pre=685"				pierce-cold			1	4																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Shield -> Gelid Shield	0				100					4	"shie,mag"	r17	gpb	xa2				"useitem,pre=685"				pierce-cold			1	4																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Small Charm -> Gelid Small Charm	0				100					4	"scha,mag"	r17	gpb	xa2				"useitem,pre=682"				pierce-cold			1	1																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Large Charm -> Gelid Large Charm	0				100					4	"mcha,mag"	r17	gpb	xa2				"useitem,pre=683"				pierce-cold			1	2																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Grand Charm -> Gelid Grand Charm	0				100					4	"lcha,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Uber Ancient Summon Material Act2 + 1 Cold Rupture -> Gelid Cold Rupture	1				100					4	PreCrafted Cold Rupture	r17	gpb	xa2				Crafted Cold Rupture	69																																																																																						0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Amulet -> Magnetic Amulet	0				100					4	"amu,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Ring -> Magnetic Ring	0				100					4	"ring,mag"	r19	gpy	xa3				"useitem,pre=688"				pierce-ltng			1	2																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Helm -> Magnetic Helm	0				100					4	"helm,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Boots -> Magnetic Boots	0				100					4	"boot,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Gloves -> Magnetic Gloves	0				100					4	"glov,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Armor -> Magnetic Armor	0				100					4	"tors,mag"	r19	gpy	xa3				"useitem,pre=691"				pierce-ltng			2	8																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Weapon -> Magnetic Weapon	0				100					4	"weap,mag"	r19	gpy	xa3				"useitem,pre=690"				pierce-ltng			1	4																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Shield -> Magnetic Shield	0				100					4	"shie,mag"	r19	gpy	xa3				"useitem,pre=690"				pierce-ltng			1	4																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Small Charm -> Magnetic Small Charm	0				100					4	"scha,mag"	r19	gpy	xa3				"useitem,pre=687"				pierce-ltng			1	1																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Large Charm -> Magnetic Large Charm	0				100					4	"mcha,mag"	r19	gpy	xa3				"useitem,pre=688"				pierce-ltng			1	2																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Grand Charm -> Magnetic Grand Charm	0				100					4	"lcha,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Uber Ancient Summon Material Act3 + 1 Crack of the Heavens -> Magnetic Crack of the Heavens	1				100					4	PreCrafted Crack of the Heavens	r19	gpy	xa3				Crafted Crack of the Heavens	69																																																																																						0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Amulet -> Incendiary Amulet	0				100					4	"amu,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Ring -> Incendiary Ring	0				100					4	"ring,mag"	r16	gpr	xa4				"useitem,pre=678"				pierce-fire			1	2																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Helm -> Incendiary Helm	0				100					4	"helm,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Boots -> Incendiary Boots	0				100					4	"boot,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Gloves -> Incendiary Gloves	0				100					4	"glov,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Armor -> Incendiary Armor	0				100					4	"tors,mag"	r16	gpr	xa4				"useitem,pre=681"				pierce-fire			2	8																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Weapon -> Incendiary Weapon	0				100					4	"weap,mag"	r16	gpr	xa4				"useitem,pre=680"				pierce-fire			1	4																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Shield -> Incendiary Shield	0				100					4	"shie,mag"	r16	gpr	xa4				"useitem,pre=680"				pierce-fire			1	4																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Small Charm -> Incendiary Small Charm	0				100					4	"scha,mag"	r16	gpr	xa4				"useitem,pre=677"				pierce-fire			1	1																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Large Charm -> Incendiary Large Charm	0				100					4	"mcha,mag"	r16	gpr	xa4				"useitem,pre=678"				pierce-fire			1	2																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Grand Charm -> Incendiary Grand Charm	0				100					4	"lcha,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Uber Ancient Summon Material Act4 + 1 Flame Rift -> Incendiary Flame Rift	1				100					4	PreCrafted Flame Rift	r16	gpr	xa4				Crafted Flame Rift	69																																																																																						0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Amulet -> Breaching Amulet	0				100					4	"amu,mag"	r21	gpv	xa5				"useitem,pre=699"				pierce-dmg			1	3																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Ring -> Breaching Ring	0				100					4	"ring,mag"	r21	gpv	xa5				"useitem,pre=698"				pierce-dmg			1	2																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Helm -> Breaching Helm	0				100					4	"helm,mag"	r21	gpv	xa5				"useitem,pre=699"				pierce-dmg			1	3																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Boots -> Breaching Boots	0				100					4	"boot,mag"	r21	gpv	xa5				"useitem,pre=699"				pierce-dmg			1	3																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Gloves -> Breaching Gloves	0				100					4	"glov,mag"	r21	gpv	xa5				"useitem,pre=699"				pierce-dmg			1	3																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Armor -> Breaching Armor	0				100					4	"tors,mag"	r21	gpv	xa5				"useitem,pre=701"				pierce-dmg			1	8																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Weapon -> Breaching Weapon	0				100					4	"weap,mag"	r21	gpv	xa5				"useitem,pre=700"				pierce-dmg			1	4																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Magic Shield -> Breaching Shield	0				100					4	"shie,mag"	r21	gpv	xa5				"useitem,pre=700"				pierce-dmg			1	4																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Small Charm -> Breaching Small Charm	0				100					4	"scha,mag"	r21	gpv	xa5				"useitem,pre=697"				pierce-dmg			1	1																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Large Charm -> Breaching Large Charm	0				100					4	"mcha,mag"	r21	gpv	xa5				"useitem,pre=698"				pierce-dmg			1	2																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Northern Worldstone Shard + 1 Grand Charm -> Breaching Grand Charm	0				100					4	"lcha,mag"	r21	gpv	xa5				"useitem,pre=699"				pierce-dmg			1	3																																																																															0
1 Pul Rune + 1 Perfect Amethyst + 1 Uber Ancient Summon Material Act5 + 1 Bone Break -> Breaching Bone Break	1				100					4	PreCrafted Bone Break	r21	gpv	xa5				Crafted Bone Break	69																																																																																						0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Amulet -> Mystical Amulet	0				100					4	"amu,mag"	r23	gpw	xa5				"useitem,pre=694"				pierce-mag			1	3																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Ring -> Mystical Ring	0				100					4	"ring,mag"	r23	gpw	xa5				"useitem,pre=693"				pierce-mag			1	2																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Helm -> Mystical Helm	0				100					4	"helm,mag"	r23	gpw	xa5				"useitem,pre=694"				pierce-mag			1	3																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Boots -> Mystical Boots	0				100					4	"boot,mag"	r23	gpw	xa5				"useitem,pre=694"				pierce-mag			1	3																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Gloves -> Mystical Gloves	0				100					4	"glov,mag"	r23	gpw	xa5				"useitem,pre=694"				pierce-mag			1	3																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Armor -> Mystical Armor	0				100					4	"tors,mag"	r23	gpw	xa5				"useitem,pre=696"				pierce-mag			2	8																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Weapon -> Mystical Weapon	0				100					4	"weap,mag"	r23	gpw	xa5				"useitem,pre=695"				pierce-mag			1	4																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Magic Shield -> Mystical Shield	0				100					4	"shie,mag"	r23	gpw	xa5				"useitem,pre=695"				pierce-mag			1	4																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Small Charm -> Mystical Small Charm	0				100					4	"scha,mag"	r23	gpw	xa5				"useitem,pre=692"				pierce-mag			1	1																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Large Charm -> Mystical Large Charm	0				100					4	"mcha,mag"	r23	gpw	xa5				"useitem,pre=693"				pierce-mag			1	2																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Northern Worldstone Shard + 1 Grand Charm -> Mystical Grand Charm	0				100					4	"lcha,mag"	r23	gpw	xa5				"useitem,pre=694"				pierce-mag			1	3																																																																															0
1 Mal Rune + 1 Perfect Diamond + 1 Uber Ancient Summon Material Act5 + 1 Black Cleft -> Mystical Black Cleft	1				100					6	PreCrafted Black Cleft	r23	gpw	xa3	xa4	xa5		Crafted Black Cleft	69																																																																																						0
1 Uber Ancient Summon Material from Act 1 + Act2 + Act3 + Act 4 + Act 5 -> Portal to Colossal Summit	1			2	100	28				5	ua1	ua2	ua3	ua4	ua5			"Red Portal,lvl=137,qty=1"																																																																																							0
Reroll Dice + Unique Basic Armor = Reroll Unique (lose all socketed items)	1				100					2	"weap,uni,bas"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Exceptional Armor = Reroll Unique (lose all socketed items)	1				100					2	"weap,uni,exc"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Elite Armor = Reroll Unique (lose all socketed items)	1				100					2	"weap,uni,eli"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Basic Weapon = Reroll Unique (lose all socketed items)	1				100					2	"armo,uni,bas"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Exceptional Weapon = Reroll Unique (lose all socketed items)	1				100					2	"armor,uni,exc"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Elite Weapon = Reroll Unique (lose all socketed items)	1				100					2	"armo,uni,eli"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Ring = Reroll Unique (lose all socketed items)	1				100					2	"ring,uni"	Rrd						"useitem,reg"																																																																																							0
Reroll Dice + Unique Amulet = Reroll Unique (lose all socketed items)	1				100					2	"amul,uni"	Rrd						"useitem,reg"																																																																																							0
Unique Reliquary + Unique Basic Armor = Reliquary Absorbs Uniq + 1 pt	1				100	16	368	5000		2	Urq	"weap,uni,bas"						useitem				relipts			1	1																																																																															0
Unique Reliquary+ Unique Exceptional Armor = Reliquary Absorbs Uniq + 2pt	1				100	16	368	4999		2	Urq	"weap,uni,exc"						useitem				relipts			2	2																																																																															0
Unique Reliquary + Unique Elite Armor = Reliquary Absorbs Uniq + 4 pt	1				100	16	368	4996		2	Urq	"weap,uni,eli"						useitem				relipts			4	4																																																																															0
Unique Reliquary+ Unique Basic Weapon = Reliquary Absorbs Uniq + 1 pt	1				100	16	368	5000		2	Urq	"armo,uni,bas"						useitem				relipts			1	1																																																																															0
Unique Reliquary+ Unique Exceptional Weapon = Reliquary Absorbs Uniq + 2 pt	1				100	16	368	4999		2	Urq	"armor,uni,exc"						useitem				relipts			2	2																																																																															0
Unique Reliquary+ Unique Elite Weapon = Reliquary Absorbs Uniq + 4 pt	1				100	16	368	4995		2	Urq	"armo,uni,eli"						useitem				relipts			4	4																																																																															0
Unique Reliquary + Unique Ring = Reliquary Absorbs Uniq + 2 pt	1				100	16	368	4999		2	Urq	"ring,uni"						useitem				relipts			2	2																																																																															0
Unique Reliquary+ Unique Amulet = Reliquary Absorbs Uniq + 2 pt	1				100	16	368	4999		2	Urq	"amul,uni"						useitem				relipts			2	2																																																																															0
Set Reliquary + Set Basic Armor = Reliquary Absorbs setq + 1 pt	1				100	16	368	5000		2	Srq	weap,set,bas						useitem				relipts			1	1																																																																															0
Set Reliquary+ Set Exceptional Armor = Reliquary Absorbs setq + 2pt	1				100	16	368	4999		2	Srq	weap,set,exc						useitem				relipts			2	2																																																																															0
Set Reliquary + Set Elite Armor = Reliquary Absorbs setq + 4 pt	1				100	16	368	4996		2	Srq	weap,set,eli						useitem				relipts			4	4																																																																															0
Set Reliquary+ Set Basic Weapon = Reliquary Absorbs setq + 1 pt	1				100	16	368	5000		2	Srq	armo,set,bas						useitem				relipts			1	1																																																																															0
Set Reliquary+ Set Exceptional Weapon = Reliquary Absorbs setq + 2 pt	1				100	16	368	4999		2	Srq	armor,set,exc						useitem				relipts			2	2																																																																															0
Set Reliquary+ Set Elite Weapon = Reliquary Absorbs setq + 4 pt	1				100	16	368	4995		2	Srq	armo,set,eli						useitem				relipts			4	4																																																																															0
Set Reliquary + Set Ring = Reliquary Absorbs setq + 2 pt	1				100	16	368	4999		2	Srq	ring,set						useitem				relipts			2	2																																																																															0
Set Reliquary+ Set Amulet = Reliquary Absorbs setq + 2 pt	1				100	16	368	4999		2	Srq	amul,set						useitem				relipts			2	2																																																																															0
Set Reliquary (30 pts) + Superior Basic Armor = Set Armor of same item (100% ilvl)	1				100	15	368	30		2	Srq	weap,hiq,bas						useitem				relipts			-30	-30																					armo,nor,set																																																										0
Set Reliquary (60pts) + Superior Exceptional Armor = Set Armor of same item (100% ilvl)	1				100	15	368	60		2	Srq	weap,hiq,exc						useitem				relipts			-60	-60																					armo,exc,set																																																										0
Set Reliquary (90pts) + Superior Elite Armor = Set Armor of same item (100% ilvl)	1				100	15	368	90		2	Srq	weap,hiq,eli						useitem				relipts			-90	-90																					armo,eli,set																																																										0
Set Reliquary (30pt) + Superior Basic Weapon = Set Weapon of same item (100% ilvl)	1				100	15	368	30		2	Srq	armo,hiq,bas						useitem				relipts			-30	-30																					weap,nor,set																																																										0
Set Reliquary (60pt) + Superior Exceptional Weapon = Set Weapon of same item (100% ilvl)	1				100	15	368	60		2	Srq	armor,hiq,exc						useitem				relipts			-60	-60																					weap,exc,set																																																										0
Set Reliquary (90pt) + Superior Elite Weapon = Set Weapon of same item (100% ilvl)	1				100	15	368	90		2	Srq	armo,hiq,eli						useitem				relipts			-90	-90																					armo,eli,set																																																										0
Set Reliquary (40pt) + Rare Ring = Set Ring (ilvl 50 max)	1				100	15	368	40		2	Srq	ring,rar						useitem				relipts			-40	-40																					ring,set	50																																																									0
Set Reliquary (40pt) + Rare Amulet = Set Amulet  (ilvl 50 max)	1				100	15	368	40		2	Srq	amul,rar						useitem				relipts			-40	-40																					amul,set	50																																																									0
Set Reliquary (50pt) + 2xRare Ring = Set Ring (ilv 100 max)	1				100	15	368	50		3	Srq	ring,rar,qty=2						useitem				relipts			-50	-50																					ring,set	100																																																									0
Set Reliquary (50pt) + 2 x Rare Amulet = Set Amulet  (ilvl 100 max)	1				100	15	368	50		3	Srq	amul,rar,qty=2						useitem				relipts			-50	-50																					amul,set	100																																																									0
Unique Reliquary ( 30pts) + Superior Hand Axe = Unique Hand Axe	1				100	15	368	30		2	Urq	"hax,hiq"						useitem				relipts			-30	-30																					"hax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Axe = Unique Axe	1				100	15	368	30		2	Urq	"axe,hiq"						useitem				relipts			-30	-30																					"axe,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Double Axe = Unique Double Axe	1				100	15	368	30		2	Urq	"2ax,hiq"						useitem				relipts			-30	-30																					"2ax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Military Pick = Unique Military Pick	1				100	15	368	30		2	Urq	"mpi,hiq"						useitem				relipts			-30	-30																					"mpi,uni"																																																										0
Unique Reliquary ( 30pts) + Superior War Axe = Unique War Axe	1				100	15	368	30		2	Urq	"wax,hiq"						useitem				relipts			-30	-30																					"wax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Large Axe = Unique Large Axe	1				100	15	368	30		2	Urq	"lax,hiq"						useitem				relipts			-30	-30																					"lax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Broad Axe  = Unique Broad Axe 	1				100	15	368	30		2	Urq	"bax,hiq"						useitem				relipts			-30	-30																					"bax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Battle Axe = Unique Battle Axe	1				100	15	368	30		2	Urq	"btx,hiq"						useitem				relipts			-30	-30																					"btx,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Great Axe = Unique Great Axe	1				100	15	368	30		2	Urq	"gax,hiq"						useitem				relipts			-30	-30																					"gax,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Giant Axe = Unique Giant Axe	1				100	15	368	30		2	Urq	"gix,hiq"						useitem				relipts			-30	-30																					"gix,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Wand = Unique Wand	1				100	15	368	30		2	Urq	"wnd,hiq"						useitem				relipts			-30	-30																					"wnd,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Yew Wand = Unique Yew Wand	1				100	15	368	30		2	Urq	"ywn,hiq"						useitem				relipts			-30	-30																					"ywn,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Bone Wand = Unique Bone Wand	1				100	15	368	30		2	Urq	"bwn,hiq"						useitem				relipts			-30	-30																					"bwn,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Grim Wand = Unique Grim Wand	1				100	15	368	30		2	Urq	"gwn,hiq"						useitem				relipts			-30	-30																					"gwn,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Club = Unique Club	1				100	15	368	30		2	Urq	"clb,hiq"						useitem				relipts			-30	-30																					"clb,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Scepter = Unique Scepter	1				100	15	368	30		2	Urq	"scp,hiq"						useitem				relipts			-30	-30																					"scp,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Grand Scepter = Unique Grand Scepter	1				100	15	368	30		2	Urq	"gsc,hiq"						useitem				relipts			-30	-30																					"gsc,uni"																																																										0
Unique Reliquary ( 30pts) + Superior War Scepter = Unique War Scepter	1				100	15	368	30		2	Urq	"wsp,hiq"						useitem				relipts			-30	-30																					"wsp,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Spiked Club = Unique Spiked Club	1				100	15	368	30		2	Urq	"spc,hiq"						useitem				relipts			-30	-30																					"spc,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Mace = Unique Mace	1				100	15	368	30		2	Urq	"mac,hiq"						useitem				relipts			-30	-30																					"mac,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Morning Star = Unique Morning Star	1				100	15	368	30		2	Urq	"mst,hiq"						useitem				relipts			-30	-30																					"mst,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Flail = Unique Flail	1				100	15	368	30		2	Urq	"fla,hiq"						useitem				relipts			-30	-30																					"fla,uni"																																																										0
Unique Reliquary ( 30pts) + Superior War Hammer = Unique War Hammer	1				100	15	368	30		2	Urq	"whm,hiq"						useitem				relipts			-30	-30																					"whm,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Maul = Unique Maul	1				100	15	368	30		2	Urq	"mau,hiq"						useitem				relipts			-30	-30																					"mau,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Great Maul = Unique Great Maul	1				100	15	368	30		2	Urq	"gma,hiq"						useitem				relipts			-30	-30																					"gma,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Short Sword = Unique Short Sword	1				100	15	368	30		2	Urq	"ssd,hiq"						useitem				relipts			-30	-30																					"ssd,uni"																																																										0
Unique Reliquary ( 30pts) + Superior Scimitar = Unique Scimitar	1				100	15	368	30		2	Urq	"scm,hiq"						useitem				relipts			-30	-30																					"scm,uni"																																																										0
